limit_saver,protect_business,avg_revenue,load_factor,avg_spoilage,avg_denied_business,avg_denied_flex
60,0,35074.166666666664,0.7600187037037037,43.19663333333333,0.021966666666666666,0.00016666666666666666
60,2,35074.19066666667,0.7600187037037037,43.19663333333333,0.0219,0.00023333333333333333
60,4,35074.21466666667,0.7600187037037037,43.19663333333333,0.021833333333333333,0.0003
60,6,35074.26266666667,0.7600187037037037,43.19663333333333,0.0217,0.0004333333333333333
60,8,35074.33466666667,0.7600187037037037,43.19663333333333,0.0215,0.0006333333333333333
60,10,35074.454666666665,0.7600187037037037,43.19663333333333,0.021166666666666667,0.0009666666666666667
60,12,35074.58666666667,0.7600187037037037,43.19663333333333,0.0208,0.0013333333333333333
60,14,35074.758,0.7600185185185185,43.196666666666665,0.0203,0.0018666666666666666
60,16,35074.96866666667,0.7600181481481482,43.196733333333334,0.019666666666666666,0.0025666666666666667
60,18,35075.146,0.7600162962962963,43.197066666666665,0.018933333333333333,0.0036333333333333335
60,20,35075.28333333333,0.7600133333333333,43.1976,0.018166666666666668,0.004933333333333333
60,22,35075.314666666665,0.7600075925925925,43.19863333333333,0.017333333333333333,0.0068
60,24,35075.36,0.7599990740740741,43.20016666666667,0.0161,0.009566666666666666
60,26,35075.11,0.759982962962963,43.203066666666665,0.0147,0.013866666666666666
60,28,35074.52066666666,0.7599570370370371,43.20773333333333,0.012966666666666666,0.020266666666666665
60,30,35073.28533333333,0.7599149999999999,43.2153,0.010933333333333333,0.029866666666666666
60,32,35070.70733333333,0.7598455555555556,43.2278,0.009066666666666667,0.04423333333333333
60,34,35066.151333333335,0.7597366666666667,43.2474,0.007566666666666667,0.06533333333333333
60,36,35059.08866666667,0.7595737037037037,43.27673333333333,0.006,0.09623333333333334
60,38,35048.278666666665,0.7593309259259259,43.320433333333334,0.0044666666666666665,0.14146666666666666
60,40,35032.367333333335,0.7589822222222223,43.3832,0.0033333333333333335,0.20536666666666667
62,0,35308.206,0.7710711111111112,41.2072,0.03133333333333333,0.00023333333333333333
62,2,35308.23,0.7710711111111112,41.2072,0.031266666666666665,0.0003
62,4,35308.278,0.7710711111111112,41.2072,0.031133333333333332,0.0004333333333333333
62,6,35308.35,0.7710711111111112,41.2072,0.030933333333333334,0.0006333333333333333
62,8,35308.47,0.7710711111111112,41.2072,0.0306,0.0009666666666666667
62,10,35308.602,0.7710711111111112,41.2072,0.030233333333333334,0.0013333333333333333
62,12,35308.77333333333,0.771070925925926,41.207233333333335,0.029733333333333334,0.0018666666666666666
62,14,35308.984,0.7710705555555555,41.2073,0.0291,0.0025666666666666667
62,16,35309.28533333333,0.7710698148148147,41.207433333333334,0.028166666666666666,0.0036333333333333335
62,18,35309.464,0.7710672222222222,41.2079,0.027333333333333334,0.004933333333333333
62,20,35309.578,0.7710622222222222,41.2088,0.026366666666666667,0.0068
62,22,35309.706,0.7710544444444445,41.2102,0.025,0.009566666666666666
62,24,35309.72466666667,0.7710407407407407,41.212666666666664,0.023166666666666665,0.013866666666666666
62,26,35309.36266666667,0.7710168518518518,41.216966666666664,0.021066666666666668,0.020266666666666665
62,28,35308.437333333335,0.7709775925925927,41.22403333333333,0.018533333333333332,0.029866666666666666
62,30,35306.314,0.7709122222222221,41.2358,0.015933333333333334,0.04423333333333333
62,32,35302.75,0.7708122222222221,41.2538,0.012833333333333334,0.06533333333333333
62,34,35296.452,0.7706561111111111,41.2819,0.010033333333333333,0.09623333333333334
62,36,35286.096666666665,0.7704174074074074,41.324866666666665,0.0077666666666666665,0.14146666666666666
62,38,35270.764,0.770073888888889,41.3867,0.0057,0.20536666666666667
62,40,35249.366,0.7696033333333334,41.4714,0.003966666666666667,0.2918
64,0,35540.077333333335,0.7821018518518519,39.221666666666664,0.0441,0.0003
64,2,35540.12533333333,0.7821018518518519,39.221666666666664,0.04396666666666667,0.0004333333333333333
64,4,35540.19733333333,0.7821018518518519,39.221666666666664,0.04376666666666667,0.0006333333333333333
